Post#,Post,Relevance,Sentiment,AD
388720,L'OREAL 欧莱雅卷烫修复洗发露 200ml ，9.9元，仅部分地区有货。来自1号店  http://t.cn/zQNNk5p,Y,NEU,AD
597472,洗毛+顺毛完终于能看了……#有飘柔，就是这么自信#   @苍玄老爷爱养猫 @风起建章 @紫色砒霜 看我的劳动成果,Y,POS,
424480,我试用了潘婷时光修护洗发露，我觉得：很喜欢这个产品，永久秀发再也不枯燥了。非常好 （分享自 @喜试网） http://t.cn/8sizMhy,Y,POS,AD
644551,奔波了一天，我这鞋子和袜子，哎！！！@飘柔m 我在:http://t.cn/zTRzNCb,N,,
863790,我觉得这个论人吧，如果你买的不是假货，那应该就是不适合你用 　　我一向没头屑的，用了海飞丝那头屑一片一片的。。。 　　施华蔻我也用不了，尤其是秋冬的时候用施华蔻，一直起静电，头发毛毛的短点的都竖起来了~,Y,"Head&shoulders=neu
 Schwarzkopf=neu",
488512,@小妻妻妻妻妻  潘婷姐姐，生日快乐！一切都顺了，少点烦恼，多点乐，没必要为一些不值得的人或事纠结太多，想太多，做好自己的事就好。[蛋糕][干杯][笑哈哈],N,,
635543,洗洗睡，这盘算是破纪录咯@wujj99 @唐僧洗头爱飘柔zl @陳工有点忙 ……,N,,
986988,披萨我没有…用抽到的沙宣旅行套装和你换一个优惠码？,Y,NEU,AD
848999,ddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd,SPAM,,
48617,亚马逊中国：6月8日 Z秒杀 值得关注商品，购买俩接在此http://t.cn/zHWDASr。 8点：摩恩大双槽水槽+净铅厨房龙头+装饰盖+沥水篮+切菜板，天王全钢情侣石英女表，清扬男士去屑洗发露400ml赠100ml*2瓶，洗之朗洁身器，耐克AIR MAX运动鞋，摩恩大面板手持花洒水呼吸淋浴花洒套装，,Y,NEU,AD
395584,"【GF时尚造型优惠券】>>凭此券仅需88元！[给力] 尊享原价880元的欧莱雅烫/染套餐：洗剪吹+欧莱雅探索系列烫/染（2选1）+欧莱雅深层烫后护理1次〔沙坪坝融汇新时代楼上14-31，杨家坪西城天街B座8-16，南坪万达广场时尚楼4栋10-17〕领取免费→http://t.cn/zjxQS55 提升个人魅力,打造你的专属发型!",N,,
758966,给大家推荐个超好用的洗发护发套组！吕棕色洗护套装(400ml洗发+400ml护发)，超给力！黄色为新款不同颜色功效不一哦！，韩国第一最强洗发首选～用完爽翻！我姐我妹闺蜜都在用！绝对完爆沙宣，多芬，力士，丝蕴，施华蔻等牌子。亲身体验！只有用过才知道！ 😜 😜微信NNShop888,Y,NEU,AD
308472,【视频巴黎欧莱雅奇焕润发精油—李冰冰篇30秒 标清—在线播放—优酷网，视频高清在线观看】巴黎欧莱雅奇焕润发精油&mdash;李冰冰篇30秒 标清   http://t.cn/8kmUSZl （分享自 @优酷网）,Y,AMBIGUOUS,
419496,"真的假的  无硅洗发水推荐 你还在用飘柔潘婷这些假顺滑的洗发水吗？,相关链接:http://t.cn/8sdYOKu",Y,"Rejoice=NEG
 Pantene=NEG",
375037,#欧莱雅奇焕润发精油#转发给好友，宣传你们的好活动，让小编保佑我中次奖吧[给力]  地址：http://t.cn/zROCjIS,Y,NEU,AD
492772,#闺蜜送福利#潘婷首创高端护发领域的滴管状修护精华。让心爱的发丝享受臻致护养。每一滴都蕴含亿万个微胶原臻致修护因子，10倍于普通护发品的修护，支持@光脚的小狐狸远 @漫步一生路孝 @cassileve斐,Y,POS,
672521,自从把那两瓶沙宣用完了，换回了我的施华蔻，头发好得不得了。这次还用的是给damaged hair用的，所以头发每天都又亮有顺又滑！给施华蔻点一百个赞！,Y,"Vidal Sassoon=NEU
 Schwarzkopf=POS",
710842,#热销单#【市中区】仅售9.6元！价值30元的施华蔻旗舰店洗剪吹套餐，男女不限，美丽自己来绽放。 http://t.cn/z8MmVT8,N,,
663742,亲爱的朋友们 我在唯品会买了施华蔻品牌的商品，现在才10折喔，机不可失失不再来，赶紧来这里看看有没有你喜欢的吧！http://t.cn/RPlpvDK,Y,NEU,AD
836100,我家的用飘柔，我还在用沙宣，嫌弃死,Y,"Rejoice=ambiguous
 Vidal Sassoon=ambiguous",
734462,这几天看着这个报价穷的，蛮受打击的…想快速系统的成为沙宣国际大师是需要最低消费15w…在加钱钱钱堆积而成的。只能在走弯路了,N,,
414815,【视频我的发型我决定 周迅代言潘婷广告-广告视频-爱奇艺】 http://t.cn/zTgJm5H（分享自 @爱奇艺）,Y,NEU,Official ad quota
744601,沙宣给人的感觉就是有活力积极向上的。,N,,
16593,我在@米折网 #超值爆料# 上发现这个好东西 ：清扬 男士洗发露 清爽控油型 750ml http://t.cn/8s7ILaR,Y,NEU,AD
369177,因为我是染烫的头发，发梢非常枯，但是抹了欧莱雅奇焕润发精油真的很有光泽呢,Y,POS,
349359,有了欧莱雅护发土豪金是不是就能随意烫染头发了呢,Y,NEU,
833860,潘婷乳液修护洗护优惠装2件组合 洗发露500ml+护发素500ml，目前飞飞商城29.9元，京东单瓶34.8元。两瓶这个价格是不错了，需要买洗发水的可以考虑。,Y,NEU,AD
805375,手机挡到脸了,N,,
257080,周末购入品流水帐📦家姐推荐给我的这套Argelan海藻洗护发，说洗完头发会变超蓬松、味道也清香好闻～欧莱雅的发油、我在柜台试了下回家一路上都在摸头发好柔顺根本停不下来！入的节奏刚好发油也用完。还有个价格有点贵但好评挺多的眼药水。[照相机]最后新相机已买好明天视频录起来（CasioZR50）[来],Y,POS,
796081,哈哈，沙宣北鼻好有型 //@JongDaeaaaaaa_:比甜甜的短一些。 //@我是倩倩的SO姐姐:跟朴有天Mirotic的造型好似！！！@-6002mosquito蚊蚊子-,N,,
263580,发源地六月烫染节，欧莱雅466烫一送一。活动详情可以咨询本人，为您私人定制您的专属发型。电话：15813738065Andy 期待您得光临！[微笑],N,,
727849,"施华蔻 品牌NO.1谢谢主办方提供如此好礼。,, 地址：http://t.cn/zT62bhz",Y,NEU,AD
303194,头发干枯毛躁没有光泽，请你相信巴黎欧莱雅，值得信赖#新年非凡Show发随手拍#,Y,POS,
875710,顶顶顶！ →_→从小立志做一个有趣的人，没想到，长大了，跑偏了，变成了逗比⊙▽⊙ 　　　--来自海飞丝清凉油客户端,N,,
216815,#宝洁官方#海飞丝洗发水，去屑只选它~~~>>>http://t.cn/zQrzmGo[猪头],Y,POS,Official ad quota
779194,沙宣总是有无线的灵感和创造力,N,,
706934,#12.12施华蔻4折起#希望下一个幸运儿就是me  地址：http://t.cn/8kM1XQK,Y,NEU,AD
744943,贾诗婷•碧波、萝卜特•帕丁森、娜塔莉•啵特慢亲自上门为你送来美发大礼包，想不上头条都难！！@1号店 购买任何沙宣潘婷海飞丝发水，“明星”送货，生活瞬间高大洋，隔壁邻居投来羡慕嫉妒恨的目光，微博里被点赞点到无敌爽！详情戳：http://t.cn/z8ofDWu  http://t.cn/RPSfy04,Y,NEU,AD
868592,谭子夜：奇葩“安全帽”呼...,N,,
977440,潘婷丝质顺滑洗发水750ML/男士领带/靠...,Y,NEU,AD
288707,#我的欧莱雅秀发非凡时刻# @邹邹zoe 头发静电严重，还有分叉，想尝试有效的保养品,Y,AMBIGUOUS,
431792,从来不知道潘婷背后有这样的励志故事//@跑步指南: 转发微博,Y,NEU,Official ad quota
965367,薇卡芙秋冬新款 针织加厚围脖 拍下9.9元包邮点此去购买 全国大部分地区包邮，分为烫钻和不烫钻的2种，多色可选 百丽、茵奈儿等品牌 鞋、靴、包专场 399元任选2件包邮点此去购买 优购网（百丽旗下电商网站），优购推出鞋、靴、包专场，全场399元任选两件，参加活动的有百丽、天美意、他她、森达、茵奈儿等品牌，大家捡贵的，品牌好的购买，还是不少好价。 施华蔻金致润养亮采精华液80ml 39元包邮点此去购买 京东自营，适用干枯发质，珍稀成分浸润每一根发丝，深透滋养，至美柔滑，由芯绽放，赠送施华蔻（Sch,Y,NEU,AD
734654,不买沙宣。 //@看见中国梦:默默的[蜡烛]@沙宣VidalSassoon  恭喜请了个鸡妇代盐，走好[心],Y,NEG,
844927,求助！头发硬而且毛躁。有些掉发。。两年前烫染过两次。。。目前再用施华蔻蓝瓶的那个。。求推荐。合适的洗发护发发膜等,Y,NEU,
658394,我最近在唯品会购买了“施华蔻Schwarzkopf日化线洗护专场.精油润养丰盈洗发露 200ML”，原价21元，现在才21.00元，非常不错，推荐给你，快去看看吧！！！ http://t.cn/RhQMCbU,Y,NEU,AD
421604,武术的区分。上单就是外家拳，刚猛能抗打脆皮！中单就是散打，前期霸道秒人！ADC就是内家拳，前期爆发不够，中期总躲最后，后期→_→那跆拳道呢，辅助啊逗比～我的解释高大上不？@丨羅傑丶 @傅飞翔 @KtktkR @不用潘婷 @聪Zz @南华工商学院_武术协会  [害羞][害羞] 我在:http://t.cn/8sH7TAD,N,,
303260,#新年非凡Show发随手拍# 看到街上那么多的美女都顶着一头靓丽的秀发，真想马上拥有传说中的神器，巴黎欧莱雅[ppb鼓掌],Y,NEU,AD
328538,感觉用过欧莱雅护发土豪金之后，头发变得很丝滑!欧莱雅护发土豪金//@全球时尚趋势: 秀发就要SHOW出来！用#欧莱雅护发土豪金#，无论干发、湿发还是吹发，随时随地一涂一抹，给秀发深层呵护，养出非凡致美的秀发！,Y,POS,
603732,#多乐的第一次#46天洗飘柔，28天喝粥水，喝三次金银花藤水，一次茅根水（去热毒），奶藓涂了婴爽凝胶，菊花洗脸，苦瓜金银花藤洗澡，62天吃了保婴丹。（受惊易醒）只希望上面的东西对宝宝都没有伤害！,Y,AMBIGUOUS,
821881,. ⿻ @大碗饭饭 @fly小草尼 @_Trajectory__ @追逐c丶 @唐曾喜欢海飞丝 &nbsp.,N,,
144747,敏峰荣获本年度最佳SB@JOCELYN30 @陈丶宜泽 @王思佳的_ @林顺达 @陈-敏-锋 @因为海飞丝 @alive莲香 @我是艺荣 @潘一梅-  我在:http://t.cn/8FYj9to,N,,
412410,【视频：潘婷泰国励志广告（中文字幕）】 （分享自 @优酷） http://t.cn/h0CYd,Y,NEU,Official ad quota
245047,回复@李馨瑜waiting:色彩体验是这样的，欧莱雅专业party颜色，瞬间给头发上色，不喜欢的话 洗头两到三次就可以洗掉~http://t.cn/RZyaLAQ //@李馨瑜waiting:色彩体验是几个意思？,N,,
983763,我只有一瓶舒肤佳，伤心,N,,
877690,"每年都要烫染好几次头发的我，每天顶着一头“瞬间即燃”的头发，可又舍不得剪掉这一头乱发。为了拯救咱的乱发，便入手了潘婷新上市的乳液修护系列，据说蕴含2倍维他命原，精准修护秀发损伤，马上就试了试！ screen.width*0.7) this.width=screen.width*0.7;"" onmouseover=""if(this.width>screen.width*0.7) this.width=screen.width*0.7;"" onmousewheel=""return imgzoom(t",Y,NEU,AD
493992,8错8错 我喜欢 支持你没道理 @　如何才能自我救赎zxt5 @　超级波菲孟 @　sunshine潘婷  地址：http://t.cn/zHmEpqa,N,,
123282,lush的海水正蓝洗了比海飞丝还痒，而且头皮里面长了好多包，我他么甚至怀疑是不是买到假的了。。。。，，→_→终于要用完了，还是换回和谐好了，海水正蓝不是蓬松吗！蓬你妹啊卧槽,Y,NEG,
807760,洗发护发我的头发二十几岁的时候非常爱染烫，两月三次染烫，完全发芯空洞，干枯，认识了老公后他说让我把头发留长慢慢把以前的黄毛剪掉，留到了现在的披肩长发。1阿瓦隆b族洗发水护发素跟传统超市那种洗发水很不一样，透明的雪碧味道，泡沫小小的，洗完头发涩涩的，但洗完再护发头发也很柔顺，不假滑，冬天可能还是太干，发质受损严重的可能不适合，！掉发现象有好转，以前洗完头发，在下水口那儿总是盘着一堆的头发，感觉头发强韧了，不像以前那么软，那么脆弱。但是如果是长发的估计很难梳头吧~~ 我头发太长了，用了两套后换其他滋,N,,
277240,#我的欧莱雅秀发非凡时刻#@兴盛大道糖糖@LD962464 @嘟嘟妈时尚b廉作为女生有一头乌黑亮丽的长发是多么幸福的一件事！,Y,AMBIGUOUS,
77074,知道今天七夕是个甜蜜蜜的日纸，你们就疯狂的秀恩爱吧！但是也不能剥夺别人祝（fu）福（hei）的权利！@海飞丝实力派 为诸位情侣和优（dan）秀（shen）青年准备了#最虐心情歌#大餐，精选来音乐自#我的青春高八度#，献给自己还是送给别人？由你来选！现在参与还有奖品等着你哦！ http://t.cn/RPJkg0F,N,,
504180,“丑小鸭变白天鹅？一个聋子想学拉小提琴...你秀逗了吗？你干嘛不学点别的，你这是在浪费时间，你还在学拉小提琴吗？”唯美创意广告微电影，泰国卡农潘婷广告。 http://t.cn/zTbxhAf,Y,NEU,Official ad quota
713877,吹风吹得再好也不行啊，开来关键时刻还得靠施华蔻，很好的广告哦//@可爱的家乡阜城: 转发微博,Y,POS,Official ad quota
601264,分享：“　　9品牌洗发水检测报告一：防腐剂含量清扬和飘柔较高 恐易引发皮肤过敏 　　作者：记者 王敏兰 　　精致的妆容，时尚的服饰，却有一头脏乱粗糙的头发，再好的形象也会大大减分。清洁头发，为自己的形象加分究竟要挑选哪一款安全合适的洗发水？这是很多消http://t.cn/8sYC1PY,Y,"Clear=neg
 Rejoice=neg",AD
439019,我正在 @百度视频 看# 体操美少女孙妍在 俏皮热舞代言潘婷# http://t.cn/8F9ZZZo，手机也能看高清，猛戳这里下载百度视频手机版 http://t.cn/8k4Alyc http://t.cn/8F9Zz3j,Y,NEU,Official ad quota
818393,出国快八年 一直用 海飞丝 。有一点很重要 洗头要勤快 最好两天一次来自: 华人街iPhone版,Y,POS,
1988,#清扬胜利足球#【第36期 蓝月杀手&国家德比经典】曼城陷入困境，阿圭罗的表现至关重要。http://t.cn/R7MPt5t 红蓝大战，鹿死谁手？http://t.cn/R7MPcbO 十佳球。http://t.cn/R7MPCtu 回顾国家德比，齐达内，大罗，劳尔，欧文的进球，你还记得吗？http://t.cn/R7MPoKB 专题-->http://t.cn/R7MhqZY,N,,
46939,#感恩有我 悦享亲情#对TA竖起大拇指，牵着TA的手去旅行！没有什么能够阻挡，你们对旅行的向往！建行悦生活，7月巨献——专属旅行卡，助你们去看最美的风景！ @Clear清扬   http://t.cn/zTYHekh,N,,
792464,@Mandy咚咚 @落牙小姐 @小羊小姐OVO 我上次在仙林附近的沙宣剪了个锅盖,N,,
576465,分享@唐僧冼发用飘柔柔柔 的MV“”快来看看>> http://t.cn/RPPZJx4  （分享自 @美拍）,N,,
221003,#海飞丝丝源复活井柏然上海见面会# #井柏然# @井柏然资讯直通车,N,,
840604,顶,N,,
406711,太给力了！我在#福利大放送#有奖活动中获得了由@时尚健康TV 提供的“潘婷乳液修护系列洗发露+护发素”(1件)。原创或转发带有#福利大放送#的微博即可参与抽奖，惊喜好礼等你赢。马上抽奖：http://t.cn/z89zAw5,Y,NEU,AD
742539,这款洗发水，我只推荐给染烫，拉直后发质受损，无营养的。因为真的特别有针对性。发质好的，洗平常沙宣，资生堂，欧莱雅等等这些牌子就行了。有意者联系[心],Y,"vidal Sassoon=NEU
 L'Oreal=NEU",AD
642049,哎。。。。可爱的小闷墩儿'下个星期惨了'中午先要被@DJ雨小轩 在财富大玩家里面用飘柔洗一盘'接下来在财富名人八卦里面瘪瘪要被@DJ洋老师 用潘婷再洗一盘'如果财富V生活还是@蕴孜孜 上的话'那就破纪录了'@主持人李晶磊 用海飞丝来扫尾''可怜的小闷墩儿[泪][泪][泪] 我在:http://t.cn/zHqOccl,N,,
844220,ummmm,SPAM,,
505507,来电影院是种刺激[哼]到处都是情侣[哼]，爆米花的味道真心难闻真心讨厌 西老[泪]@Cassiopeia陈竹馨 @well-being潘婷,N,,
666133,女侠洗护，好到爆，秒杀欧莱雅施华蔻。用我家洗护的都是女神，其实，你用了，也一样女神，[害羞][害羞]2776331635,Y,"L'Oreal=neg
 Schwarzkopf=NEG",
258302,男澡堂子里十个年轻浴客有8个是阿迪达斯沐浴露，5个欧莱雅洗面奶，3个清扬洗发露，还有两个是叫的一次性备品[哈哈] http://t.cn/z8mBwqB,Y,Clear=NEU,
672060,Schwarzkopf 施华蔻 柔丝顺滑精华液 50ML 113.81元（满99-20、199-60 低至83元/支） http://t.cn/RvedLqj,Y,NEU,AD
278830,巴黎欧莱雅多效修复洗发露400m，原价49.5，现价32.9，/Date(1389715199000+0800)/截止,Y,NEU,AD
406043,签约平面模特、T台模特小蕊！拥有四分之一法国血统，曾为纪梵希、潘婷做过代言、佳能 农夫果园 伊犁 大众速腾的御用模特！好的產品，是主動吸引美女模特的青睞！[爱心][爱心]分文不收為我們獻上代言！[亲亲]她说：＂Dco是我入行至今用過的最好面膜〜我樂意推薦給所有愛美的女孩！＂微信：yaojun_love,N,,
284782,#我的欧莱雅秀发非凡时刻#[话筒]上周的“烫发损伤后的补救妙招”投票转发活动已经结束了，再次感谢大家的积极参与。今天我们又来公布获得欧莱雅润发精油试用装20名获奖会员的名单了，恭喜恭喜！另外，欧莱雅润发精油全国免费试用正在火热进行中，赶紧点击链接http://t.cn/8FjTYTV申请吧！[ali转],Y,NEU,AD
814180,H&S 海飞丝 男士去屑洗发露 强根防掉型，针对男士设计的配方，特含动力锌去屑防护系统，快速有效去除头屑，并从根源上减少头屑再生。适用于发痒的头皮，特含舒缓呵护成分，舒润头部皮肤，给你清爽感受，享受无屑自由，规格730ml。 亚马中国逊报价58元包邮，同时参加美妆个护专场 促销活动，满1 ...,Y,NEU,AD
758213,#京东上市#沙宣！恭喜京东！,N,,
455311,很少用潘婷，昨天公司楼下领了个体验装，试用了下感觉还不错。@潘婷pantene,Y,POS,
281424,"LOREAL PARIS巴黎欧莱雅丝泉滋润发膜1000ml修复受损发质专业洗护,售价:158元http://t.cn/8kHUkku",Y,NEU,AD
276418,#爱丽小屋发膜# 你现在的头发比内个刚丝儿还缠绵呢，我没夸你， 你就是内种钢丝发质，俗称”断梳台”，就你的头发干燥的，啥梳子到你手里，他都过不了今世，都立马die。因为你头发干，你没营养，你头发都打结了梳不开，这个发膜，好到一个死！比大牌理发店做的欧莱雅也不差！,N,,
399494,今天用沙宣洗了小豆子，感觉效果不好，柔顺到有点儿打绺了，不是原来那个蓬蓬松松的小豆子，总觉得没有晾干，潮呼呼的，看样子贵的未必是好的，沙宣不适合豆子，哈哈，下次还是用潘婷吧[嘻嘻][嘻嘻][嘻嘻][嘻嘻],N,,
308339,#欧莱雅精油护发#感谢岁月让一只友谊的船，让我们找到了落帆的愿望，感谢小编微博的活动，让我找到了互动交友的家园；[给力]  地址：http://t.cn/8kBYjQQ,Y,NEU,AD
863977,太感谢了！还有什么好产品，赶快再给我们介绍吧,N,,
685645,施华蔻的这款去粉刺的 适合男士的洗面奶沐浴露二合一 5颗星推荐啦 脸上背上长痘痘的 都可以试试哈,N,,
26834,我只用清扬男士z //魏佳橙爱次肉肉_://睡着的荷:,Y,POS,
502564,#莹彩修护 温婉迷人# 喜欢用潘婷呢~~@蓉蓉小燕52 @曼的生活 @于燕梅,Y,POS,
976453,在超市中还没有看到黑色瓶子包装的潘婷呢,Y,NEU,
803754,"爱上潘婷，爱它带给我的_顺滑,给我内在_强韧_,外在_光泽_,让我秀发变得_闪耀__!",Y,POS,
484805,#潘婷闪耀倒计时#时刻关注你们的活动 始终是你们的忠实粉丝 祝愿你们每天开心快乐!  地址：http://t.cn/z8kcmsC,N,,
91303,手疾眼快实力派朝这看！由海飞丝冠名赞助的@我的青春高八度 今晚正式开播，截图或拍下剧中出现的任何海飞丝画面发布微博并@海飞丝实力派 就有机会获得实力大礼。够实力，高八度，快叫上你的小伙伴一起来找海飞丝吧！,N,,
749230,戴花欧巴，你不代言清扬代言沙宣了麽麽麽[疑问][疑问]？,Y,"Clear=ambiguous
 Vidal Sassoon=ambiguous",
878563,倩碧水嫩保湿修颜霜（象牙色） 7ml 6 2016.06 倩碧匀净卓妍淡斑精华露 7ml 9 2016.02 倩碧匀净卓妍淡斑面膜 7ml 3 2016.07 倩碧匀净卓妍隔离霜 7ml 3 2015.12 倩碧焕颜活力精华露 7ml 2 2015.12 倩碧焕颜活力精华露（升级版） 7ml 4 2016.05 倩碧水嫩保湿润肤露 1.5ml 3 2015.06 雪肌精美白BB霜 6g 2 雪肌精化妆水 24ml 1 2019.03 雪肌精乳液 20ml 1 2019.06 兰芝臻白修护柔肤精华,Y,NEU,AD
569416,我可以给飘柔做广告啦[偷笑][偷笑][偷笑],Y,POS,
53607,#我正在收看热火vs骑士# @于嘉 @柯凡 @匹克篮球@新浪NBA@切换台   为什么11天了清扬绝杀时刻这个节目还没有呀！ 看直播： http://t.cn/h9DXtA 我看到了这里： http://t.cn/zTfJ8b8,N,,
825043,呵呵，潘婷植物精粹净润养护系列不错，效果更是宜人,Y,POS,
816108,长沙合肥南昌武汉四市市长...,N,,
721796,好活动[转发]无条件的来支持[转发]希望就在前方支持[抱抱][抱抱][抱抱] @　瘦下来很简单 @　eqpck6691 @　lovely春原芽衣 @　tfwing花园 @　杭州施华蔻小朱  地址：http://t.cn/zQGcVO2,N,,
986529,@喜欢用海飞丝 @丶小时代great @懂大锅i @谁令你心痴wu @专治各种啪啪啪 快来,N,,
646312,"桃花运 说 ,  自从用了飘柔  - -。   @文及灿 @文丽贞lz",Y,AMBIGUOUS,
303157,我就想烫个卷发，#新年非凡Show发随手拍#但是又害怕伤头发用巴黎欧莱雅,?,,
311145,欧莱雅精油护发耐心是驱赶困难的利剑，责任心是迈向成功的必然！ 地址：http://t.cn/8kBYjQQ,Y,NEU,AD
639011,我好像和绿色情有独钟，飘柔看成了沐浴露......,Y,AMBIGUOUS,
849750,想换个发型， ?下载客户端，分分钟获呆萌气泡,N,,
402630,潘婷 拍摄 gisele Bundchen,?,,
594801,与 @M j .Q@疯狂Science@梦想家kaori@涛涛123_3305@老子_洗头用飘柔 在#德州扑克#里同桌pk以一手#三条#牌型赢取了170000筹码！是不是很给力！开始游戏http://t.cn/zRZVdXq,N,,
9927,[moc转发]支持郜林，也是同意的支持这个清扬洗发水的，感觉很好用,Y,POS,
643617,#运动日记##走路#昨天走了1000多m。今天太忙，还没走，回家跟娃做游戏。@糖僧洗发爱飘柔 你坚持哦~,N,,
627194,为了纪念我的第18个光棍节。。。喜大普奔地把沐浴露当洗发露洗了一回。。。蓦然回首。。。艹。。。飘柔在左边。。。默默再挤飘柔洗一次。。。各种强迫症。。。,Y,NEU,
285760,#我的欧莱雅秀发非凡时刻# @Jomini的小窝 @默默可爱添添 @猪猪瑶LOVE昕 我想拥有林志玲那样的秀发 这样可以有多变的造型[得意地笑],Y,NEU,
740277,#轻力放肆玩有型# 打破常规，拒绝束缚，我要创造属于自己的型格！快来和我一起，加入轻力狂潮，生成型格海报，PK圈子达人，赢5000元轻力放肆基金！@沙宣VidalSassoon http://t.cn/RPwMfvP,N,,
840127,柳屋不是到很多的啊。。。是几滴几滴分次抹的啊 如果头皮偏油就只要抹发尾啊 看到直接到得姑娘真 ... JCobain 准备下次再买买施华蔻，试试。。会不会每个人效果都不太一样,Y,NEU,
47234,对@Clear清扬 说： #mamasan晒奖品#吼！收到了，上午还跟小编留言，怎么一个月了还没收到，结果下午就收到了！这就是心想事成吧！而且是正装哦，不是180Ml的非卖品哦！[泪]还有这是哪位小编的字啊，真好看啊，感动得要哭出来乐！,Y,NEU,AD
387741,欧莱雅润发油还可以定法啊。头发比以前硬多了。,Y,NEU,
723874,【买一送一！】  德国施华蔻400ml洗发水  有需要的亲吗[爱你],Y,NEU,AD
372003,#美图秀秀iPad版#分享图片美女留了好久的长发剪掉了[呲牙][呲牙] 好可爱噢噢噢[害羞][害羞]  做了一款5号色的亚麻深棕色噢噢 [得意][得意]本店的施华寇洗护／发膜／欧莱雅／卡丝的护色洗发水也有了噢  喜欢的美女可以订购咯 [强][强]  设计发型请关注「peter发型设计工作室」,Y,NEU,AD
73622,超级好用的洗发水、护发素。无添加。 用过真的很顺头发。 有人要定吗。 明后天发货。 有的速度喽。 比什么海飞丝。沙宣。 爆款什么。 好用太多。 洗了四五次才开始宣传就是为了帮你们试用。 定出几套了。还有木有。 http://t.cn/RPTrXat,Y,"Head&shoulders=NEG
 Vidal Sassoon=NEG",AD
